"","PC1","PC2","PC3"
"1",-0.343492185609954,-0.0266556300257061,-0.0500475649839457
"2",-0.284625906315779,-0.276934316006011,-0.235315126855051
"3",-0.2929855292767,-0.241208590903217,-0.28154548637577
"4",-0.285642656718755,-0.272566928369393,-0.276928415206746
"5",-0.286180789854721,-0.270482716993719,-0.204232148533568
"6",-0.28420091688216,-0.27812864569075,-0.486245223907238
"7",-0.293430189042976,-0.239268510633643,-0.297017905784639
"8",-0.288288942770875,-0.261199709486466,-0.305255131510818
"9",-0.334438262499543,-0.0662009278619292,0.223385434050644
"10",-0.320985810431653,-0.121772429919971,-0.211353856855839
"11",-0.295791781349765,-0.228805824144424,-0.431740193067608
"12",-0.287381475029887,-0.26518790068968,-0.243800523811732
"13",-0.516812844390245,0.712991751338831,0.0475900472450329
"14",-0.28975676222572,-0.255534605928635,-0.253073901478181
"15",-0.286963251112425,-0.266827782398272,-0.285369633419499
"16",-0.282716742766094,-0.284848351624903,-0.287658276748027
"17",-0.288323347794644,-0.261227599895126,-0.252098669161426
"18",-0.297765161721403,-0.220538119603687,-0.289450898441099
"19",-0.280356325203332,-0.295075818244062,-0.306093987404287
"20",-0.288466806819164,-0.260127336323898,-0.339939764245112
"21",-0.295622108693193,-0.229922850799536,-0.329394684075697
"22",-0.312498670478073,-0.159311934866417,-0.0798510233939345
"23",-0.28220552235642,-0.287127872928446,-0.277946262180025
"24",-0.289705150125879,-0.255116671634563,-0.271803426916355
"25",-0.318847438148886,-0.132160630747722,-0.187291893597312
"26",-0.322146210186642,-0.118759723534764,0.0155791964788719
"27",-0.293371967331867,-0.239224118792756,-0.278900923738199
"28",-0.283939917369969,-0.279300256176096,-0.418518353963669
"29",-0.30275230741211,-0.200415637879395,-0.0194497828099002
"30",-0.282420176203446,-0.286119914019595,-0.279084106101828
"31",-0.306896809607371,-0.182586095826931,-0.042329471314687
"32",-0.286624553859809,-0.268468474729819,-0.243265063274608
"33",-0.283972709967761,-0.279614315018391,-0.23735104826324
"34",-0.28460861863419,-0.276939091234999,-0.274386924224761
"35",-0.310824734632099,-0.166223494170499,0.0285722422719554
"36",-0.283017444408706,-0.283708008670843,-0.244580026141508
"37",-0.283602829080016,-0.281339761124268,-0.250765572854647
"38",-0.322919260601463,-0.114213174867021,-0.153696779909379
"39",-0.309581352090828,-0.1711221748746,-0.104206996113297
"40",-0.289384869233486,-0.256733642297316,-0.204465445395607
"41",-0.293116263932111,-0.240740297981346,-0.248167854432924
