CODGEO;LIBGEO;CS1_81_IMMI1_SEXE1;CS1_81_IMMI1_SEXE2;CS1_81_IMMI2_SEXE1;CS1_81_IMMI2_SEXE2;CS1_82_IMMI1_SEXE1;CS1_82_IMMI1_SEXE2;CS1_82_IMMI2_SEXE1;CS1_82_IMMI2_SEXE2;CS1_83_IMMI1_SEXE1;CS1_83_IMMI1_SEXE2;CS1_83_IMMI2_SEXE1;CS1_83_IMMI2_SEXE2;CS1_84_IMMI1_SEXE1;CS1_84_IMMI1_SEXE2;CS1_84_IMMI2_SEXE1;CS1_84_IMMI2_SEXE2;CS1_85_IMMI1_SEXE1;CS1_85_IMMI1_SEXE2;CS1_85_IMMI2_SEXE1;CS1_85_IMMI2_SEXE2;CS1_86_IMMI1_SEXE1;CS1_86_IMMI1_SEXE2;CS1_86_IMMI2_SEXE1;CS1_86_IMMI2_SEXE2;CS1_87_IMMI1_SEXE1;CS1_87_IMMI1_SEXE2;CS1_87_IMMI2_SEXE1;CS1_87_IMMI2_SEXE2;CS1_88_IMMI1_SEXE1;CS1_88_IMMI1_SEXE2;CS1_88_IMMI2_SEXE1;CS1_88_IMMI2_SEXE2
72254;Rouessé-Fontaine;0;0;0;0;0;0;5;0;0;0;0;0;0;0;10;25;0;0;10;45;0;0;50;10;0;0;30;40;0;0;35;30
72255;Rouessé-Vassé;0;0;25;10;0;0;5;10;0;0;25;0;0;0;10;20;0;0;20;90;0;0;104;25;0;0;90;115;5;0;115;160
72256;Rouez;0;0;20;10;0;0;20;15;0;0;15;10;0;0;35;40;0;0;10;75;0;0;116;25;0;0;80;85;0;0;85;136
72257;Rouillon;0;0;9;9;0;0;37;0;4;0;170;100;4;4;124;177;8;0;71;164;0;0;149;16;4;8;296;367;30;17;310;281
72259;Rouperroux-le-Coquet;0;0;4;4;0;0;12;0;0;0;4;0;0;0;12;4;0;0;0;47;0;0;51;8;0;0;27;35;0;0;43;51
72260;Ruaudin;0;0;0;0;0;0;80;50;0;0;130;65;5;0;185;180;0;10;85;370;0;0;230;60;15;20;456;456;5;15;395;570
72261;Ruillé-en-Champagne;0;0;28;12;0;0;0;0;4;0;16;4;0;0;16;36;0;0;4;24;0;0;36;8;0;0;12;16;0;4;56;68
72262;Ruillé-sur-Loir;0;0;25;10;0;0;45;15;0;5;10;5;0;0;15;50;0;0;25;104;0;0;85;20;0;0;223;317;0;0;100;126
72264;Sablé-sur-Sarthe;3;0;20;7;16;0;115;66;12;2;249;143;42;29;453;476;19;71;207;1038;261;114;1358;608;35;40;1398;2020;77;153;1671;1811
72265;Saint-Aignan;0;0;4;0;0;0;12;0;0;0;8;0;0;0;12;24;0;0;4;16;0;0;24;12;0;0;32;44;0;8;36;36
